year,country,ec,GDP
1971,Argentina,1380.921398,1366.354726
1972,Argentina,1379.818923,1401.487795
1973,Argentina,1411.496781,2083.972218
1974,Argentina,1415.682954,2824.650915
1975,Argentina,1378.546993,2011.68904
1976,Argentina,1404.744778,1932.590782
1977,Argentina,1420.567765,2112.501173
1978,Argentina,1426.91926,2129.313793
1979,Argentina,1484.565823,2501.480753
1980,Argentina,1487.617079,2738.284723
1981,Argentina,1430.440084,2756.396981
1982,Argentina,1416.540023,2907.757627
1983,Argentina,1419.930165,3530.131783
1984,Argentina,1447.819825,2643.369398
1985,Argentina,1360.665414,2909.51661
1986,Argentina,1421.546979,3595.085898
1987,Argentina,1477.043426,3546.71882
1988,Argentina,1504.819091,3969.327412
1989,Argentina,1441.482265,2375.339103
1990,Argentina,1407.38675,4318.7747
1991,Argentina,1430.514982,5715.504397
1992,Argentina,1483.779437,6798.026763
1993,Argentina,1468.220775,6940.350358
1994,Argentina,1541.657524,7449.48039
1995,Argentina,1544.355772,7373.428246
1996,Argentina,1582.138202,7683.574065
1997,Argentina,1613.918988,8172.664323
1998,Argentina,1650.343735,8248.761989
1999,Argentina,1659.992827,7736.369623
2000,Argentina,1661.117041,7669.273916
2001,Argentina,1562.68636,7170.694674
2002,Argentina,1502.037194,2579.193168
2003,Argentina,1589.545082,3330.437006
2004,Argentina,1717.650525,4251.574348
2005,Argentina,1709.572352,5076.883829
2006,Argentina,1840.440442,5878.761027
2007,Argentina,1845.098116,7193.61764
2008,Argentina,1923.139812,8953.359275
2009,Argentina,1850.861533,8161.306966
2010,Argentina,1908.28056,10276.2605
2011,Argentina,1933.523032,12726.90836
2012,Argentina,1920.080959,12969.70712
2013,Argentina,1951.439454,12976.63642
2014,Argentina,2015.18704,12245.25645
1971,Australia,3989.629744,3489.086601
1972,Australia,4035.206344,3942.81242
1973,Australia,4264.271226,4762.479304
1974,Australia,4294.161626,6471.554165
1975,Australia,4345.871446,6992.538975
1976,Australia,4405.702986,7474.862358
1977,Australia,4671.195674,7763.130772
1978,Australia,4629.618471,8239.954825
1979,Australia,4683.853176,9279.253595
1980,Australia,4737.482031,10191.81606
1981,Australia,4694.676425,11830.86532
1982,Australia,4817.489524,12763.32361
1983,Australia,4555.146203,11515.80647
1984,Australia,4651.712429,12428.85793
1985,Australia,4602.95653,11434.88989
1986,Australia,4623.739075,11360.52766
1987,Australia,4772.370465,11623.35967
1988,Australia,4702.841606,14257.02216
1989,Australia,5001.103102,17801.26827
1990,Australia,5061.508459,18214.83698
1991,Australia,4927.78159,18824.2474
1992,Australia,4959.214919,18569.76879
1993,Australia,5147.53665,17633.38138
1994,Australia,5089.788967,18045.43906
1995,Australia,5129.223661,20319.63063
1996,Australia,5393.580635,21861.32551
1997,Australia,5469.599989,23468.59683
1998,Australia,5553.653466,21318.96417
1999,Australia,5610.344711,20521.77757
2000,Australia,5644.064951,21669.41091
2001,Australia,5446.973214,19482.5679
2002,Australia,5569.640992,20074.22931
2003,Australia,5568.764941,23437.31215
2004,Australia,5598.088178,30401.55479
2005,Australia,5564.087169,33961.6818
2006,Australia,5709.344668,36019.20305
2007,Australia,5868.347097,40905.47089
2008,Australia,5964.665776,49535.25787
2009,Australia,5862.551944,42709.8033
2010,Australia,5793.116026,51936.88871
2011,Australia,5745.23219,62411.78545
2012,Australia,5573.078304,67864.68986
2013,Australia,5464.192602,67990.29003
2014,Australia,5328.223992,62327.55594
1971,Brazil,714.0384824,503.4787661
1972,Brazil,746.8821422,584.5506848
1973,Brazil,799.138597,772.8187913
1974,Brazil,830.3170514,1000.634253
1975,Brazil,846.4489867,1149.586121
1976,Brazil,867.5287839,1385.29853
1977,Brazil,875.466416,1560.86306
1978,Brazil,909.7173434,1737.367552
1979,Brazil,944.6769755,1901.001325
1980,Brazil,939.677844,1939.790876
1981,Brazil,880.5990197,2124.962989
1982,Brazil,874.7583378,2218.890515
1983,Brazil,876.3171933,1565.297832
1984,Brazil,912.2096389,1573.967139
1985,Brazil,953.397735,1643.196503
1986,Brazil,977.6522673,1936.016335
1987,Brazil,995.6993558,2081.665262
1988,Brazil,990.0154958,2294.401695
1989,Brazil,991.4411954,2901.285449
1990,Brazil,938.7675483,3093.037479
1991,Brazil,940.0013727,3966.795488
1992,Brazil,933.9005938,2591.797116
1993,Brazil,941.624461,2786.171356
1994,Brazil,975.3157574,3494.640541
1995,Brazil,992.5945404,4740.119813
1996,Brazil,1028.801745,5156.809075
1997,Brazil,1064.048038,5271.412222
1998,Brazil,1072.764068,5075.631211
1999,Brazil,1080.641098,3469.502237
2000,Brazil,1069.337465,3739.116139
2001,Brazil,1072.917289,3146.948904
2002,Brazil,1086.6367,2819.64812
2003,Brazil,1090.388978,3059.586507
2004,Brazil,1136.968243,3623.049912
2005,Brazil,1152.016339,4770.183845
2006,Brazil,1178.850905,5860.145829
2007,Brazil,1232.601682,7313.557773
2008,Brazil,1288.117286,8787.610658
2009,Brazil,1233.753632,8553.381368
2010,Brazil,1351.028896,11224.15408
2011,Brazil,1359.122359,13167.47289
2012,Brazil,1404.755271,12291.46685
2013,Brazil,1451.167804,12216.90446
2014,Brazil,1484.926638,12026.61939
1971,Canada,6530.335563,4586.255848
1972,Canada,6933.606552,5141.616725
1973,Canada,7123.379215,5870.600564
1974,Canada,7100.548092,7043.474351
1975,Canada,7150.106812,7489.940531
1976,Canada,7272.550047,8783.721592
1977,Canada,7409.530005,8892.76168
